,posivite_score,bias_score,text
0,0.1237278804183006,0.7525442391633987,"Donald Trump’s social media platform Truth Social has lost $73m since its launch in early 2022, a securities filing revealed on Monday, and is struggling to find additional funds."
1,0.5666074752807617,0.13321495056152344,"The ex-president had announced the launch of his social media app in October 2021, saying it would “stand up to big tech” companies such as Twitter and Facebook that previously barred him."
2,0.323425143957138,0.353149712085724,"But a filing by Digital World Acquisition Corp, the special purpose acquisition company (SPAC) that plans to merge with Truth Social’s owner, Trump Media & Technology Group’s (TMTG), showed the social media company has been losing money heavily."
3,0.2464951872825622,0.5070096254348756,"In 2022, Truth Social posted a loss of $50m, with net sales of just $1.4m. It lost $23m in the first half of this year, with net sales of $2.3m."
4,0.4376575350761413,0.1246849298477174,"Digital World Acquisition also revealed that the Securities and Exchange Commission, the US’s top financial watchdog, was looking at the deal in a move that “could cause us to be unable to consummate the business combination”."
5,0.4807943105697632,0.03841137886047363,"If the merger collapses, the filing states, Truth Social will struggle to find new funds. TMTG’s independent registered public accounting firm has indicated that the financial condition raises substantial doubt as to its ability to continue as a going concern, according to the filing."
6,0.1910459697246551,0.6179080605506898,"The company also eliminated several positions in March, the filing said, adding that the action followed a review of all departments, most significantly impacting TMTG’s streaming video on demand and infrastructure teams."
7,0.2101000547409057,0.5797998905181886,"ichael Luttig knows the eye of the storm. On the night of 4 January 2021, the retired federal judge advised Mike Pence, the vice-president, against trying to overturn the results of the presidential election. Last year on live television he delivered compelling testimony to the congressional panel investigating the January 6 insurrection."
8,0.0836179554462432,0.8327640891075136,"Now, with less than a year until the nation goes back to the polls, Luttig recognises that the battle to save the American republic from the demagoguery of Donald Trump is far from over – and he is more worried than ever before."
9,0.7427469491958618,0.48549389839172363,"Luttig, 69, is an unlikely hero of the resistance. Born in Tyler, Texas, he was assistant counsel to the president under the Republican Ronald Reagan, and clerked for then judge Antonin Scalia and the supreme court justice Warren Burger. He served on the US court of appeals for the fourth circuit from 1991 to 2006 and was committed to an “originalist” interpretation of the constitution."
10,0.2335156798362732,0.5329686403274536,"He endorsed the George W Bush White House’s post-September 11 policy of declaring terrorism suspects “enemy combatants” so that they could be held by the military without charges. He was an advocate of the death penalty – including for the man who killed Luttig’s own 63-year-old father, John, in a carjacking outside his home."
11,0.2540407180786133,0.49191856384277344,"Luttig retired in 2006 and entered the private sector, working for Boeing and Coca-Cola before sliding into what seemed a quiet retirement. But at the dawn of 2021, America was on the brink of a constitutional crisis after Trump lost the election to Joe Biden and pressured Pence to reject the outcome."
12,0.4701942801475525,0.05961143970489502,"On the night of 4 January, Luttig received a call from old friend Richard Cullen, who was working as a lawyer for Pence. Cullen explained that John Eastman, who had previously clerked for Luttig, was making the claim that Pence had the constitutional authority to stop certification of the election results."
13,0.3182869553565979,0.3634260892868042,"The vice-president duly stood his ground and spurned Trump, who reportedly branded Pence a “wimp” and complained: “I don’t want to be your friend any more if you don’t do this.” On January 6 a mob of Trump supporters stormed the US Capitol and demanded that Pence be hanged, leaving a trail of death, destruction and excrement, but the results got certified all the same."
14,0.2511031925678253,0.49779361486434937,"As Biden was sworn in, proclaiming that “democracy has prevailed”, and Trump slunk back to his Mar-a-Lago redoubt in Florida, there were hopes that the worst of the storm had passed. But it soon became apparent that Trump wasn’t going anywhere. He continued to hold rallies, call the shots in the Republican party and push the “big lie” that he, not Biden, was the true winner in 2020."
15,0.5959827899932861,0.19196557998657227,"Now, despite 91 criminal indictments in four jurisdictions, many of which relate to the attempted coup, he is running to regain the White House in 2024. He is the clear frontrunner for the Republican nomination and, according to a recent New York Times and Siena College poll, leading Biden in five of the six most important battleground states."
16,0.7776688933372498,0.5553377866744995,"Should Trump win a second term, the Washington Post newspaper reported this week, he already has plans to use the federal government to investigate or prosecute perceived enemies including his former chief of staff John Kelly, former attorney general William Barr and Gen Mark Milley, the chair of the joint chiefs of staff."
17,0.2962740361690521,0.40745192766189575,"A presidency guided by such authoritarian impulses would be “ruinous” for democracy and the rule of law, Luttig predicts. “He did what he did on January 6. He’s continued to maintain for three years that the election was stolen from him. He’s done that with now complete and total support of the Republican party."
18,0.3648371994495392,0.27032560110092163,“All that he has done beginning with January 6 has corrupted American democracy and corrupted American elections and laid waste to Americans’ faith and confidence in their democracy to the extent that today millions and millions and millions of Americans no longer have faith and confidence in their elections.
19,0.702243447303772,0.40448689460754395,"Luttig, however, has a plan to stop him. In August he joined with the liberal constitutional scholar Laurence Tribe to publish an article in the Atlantic magazine under the headline “The Constitution Prohibits Trump From Ever Being President Again”."
20,0.6316506862640381,0.26330137252807617,"The pair argued that section 3 of the 14th amendment automatically excludes from future office anyone who swears an oath to uphold the constitution and then rebels against it. Irrespective of criminal proceedings or congressional sanctions, they contended, Trump’s efforts to overturn the election are sufficient to bar him for life."
21,0.6929749846458435,0.385949969291687,"Luttig elaborates by phone: “The former president is disqualified from holding the presidency again because he engaged in an insurrection or rebellion against the constitution of the United States when he attempted to remain in power, notwithstanding that the American people had voted to confer the power of the presidency upon Joe Biden."
22,0.3716616928577423,0.2566766142845154,"Luttig draws a fine but important legal distinction between a rebellion against the constitution, as described by the 14th amendment section 3, and rebellion against the United States. He claims that groups that filed lawsuits in Colorado and elsewhere to bar Trump from the ballot are confused on this issue."
23,0.4532258212566376,0.09354835748672485,"“They do not yet understand what disqualifies the former president, namely an insurrection or rebellion against the constitution. They have argued the cases as if he is disqualified because he engaged in insurrection or rebellion against the United States."
24,0.8145808577537537,0.6291617155075073,"In the meantime Luttig this week helped form a new conservative legal movement, relaunching an organisation formerly known as Checks & Balances as the Society for the Rule of Law. The move was billed as a nationwide expansion aimed at protecting the constitution and defending the rule of law from Trump’s “Make America great again” movement. Its leadership includes Luttig, the lawyer George Conway and former Republican congresswoman Barbara Comstock."
25,0.4992874264717102,0.0014251470565795898,"On other side of that split is the Federalist Society, a group that for decades has played a crucial role in grooming conservative judges – its prominent figures have included Leonard Leo, who advised Trump on his supreme court picks – but has said little about the threat posed by the former president to the constitutional order."
26,0.8183180689811707,0.6366361379623413,"At first, Walker did not take the former president’s advice, letting go his sole debate with Warnock – a church pastor – without raising the slur."
27,0.6067988276481628,0.21359765529632568,"But according to Jonathan Karl, ABC News’s chief Washington correspondent and the author of a new book on Trump’s Republican party, “all bets were off once the race went to a run-off”."
28,0.7016174793243408,0.40323495864868164,"Trump’s advice to the former college football and NFL star, and Walker’s garbled recounting of the slur, is reported in Karl’s new book, Tired of Winning, published in the US on Tuesday."
29,0.892394483089447,0.784788966178894,"Karl’s source is an unidentified senior Walker adviser who witnessed the conversation, which Walker put “on speakerphone so his team in the room could hear the strategic wisdom that was about to be offered”."
30,0.5408352017402649,0.08167040348052979,"The claim against Warnock concerned alleged abuse in 2002 at a Maryland summer camp run by a church where he was then senior pastor. The allegation surfaced – and was used by the Republican Kelly Loeffler – during Warnock’s first victorious Senate run, which ended with a runoff win in January 2021."
31,0.4020585119724273,0.19588297605514537,"Karl writes that a camper alleged a counselor threw urine at him and locked him outside overnight, as a punishment for wetting his bed."
32,0.4466150999069214,0.10676980018615723,"As reported at the time by the Baltimore Sun, Warnock and another church official were arrested after “a state trooper said the ministers prevented her from interviewing counselors as she investigated” the alleged abuse."
33,0.7531892657279968,0.5063785314559937,"Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy. We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply."
34,0.3031292855739593,0.3937414288520814,But the charges of interfering with an investigation were dismissed.
35,0.3121252954006195,0.375749409198761,Karl also notes Walker’s own struggles with allegations of domestic violence and reports he paid for an abortion.
36,0.6259991526603699,0.25199830532073975,"Warnock won the runoff, helping Democrats retain the Senate."
37,0.2845166623592376,0.43096667528152477,"An attorney for Donald Trump has told prosecutors in Georgia that one of the former president’s top aides told her in December 2020 that Trump was “not going to leave” the White House “under any circumstances”, despite having lost the election to Joe Biden."
38,0.2626663148403168,0.47466737031936646,The revelation from Jenna Ellis came during an interview with the Georgia district attorney’s office in Fulton County. Ellis is cooperating as part of a plea agreement in the Georgia election interference case against Trump and various allies.
39,0.6434535980224609,0.2869071960449219,"Sections of the video recordings were published on Monday by ABC News and the Washington Post, along with excerpts from interviews with lawyer Sidney Powell and two other defendants who have reached plea agreements in the case in exchange for testifying."
40,0.4618103802204132,0.07637923955917358,"Ellis said the longtime Trump aide – his deputy chief of staff, Dan Scavino – told her “the boss” would refuse to cede power. She also alluded to two other “relevant” instances for the case but did not disclose them in the video, apparently prevented from doing so by attorney-client privilege."
41,0.4785646200180053,0.04287075996398937,"Ellis described Scavino’s response to her scepticism that Trump had any more legal avenues left to challenge his election loss, saying: “And he said to me, you know, in a kind of excited tone: ‘Well, we don’t care, and we’re not going to leave.’”."
42,0.7584989666938782,0.5169979333877563,"The recordings of the four defendants’ statements were required under the terms of their plea deals, in order that their knowledge of events could be used in cases against other defendants."
43,0.7221400737762451,0.44428014755249023,"The Post also reviewed statements from Georgia bail bondsman Scott Hall and lawyer Kenneth Chesebro. Chesebro claimed he gave Trump a summary of a memo in which he offered advice on the alternate slates of electors, which were created in a plot to cast fake ballots for Trump in states that Biden had legitimately won. The statements could provide evidence Trump knew of the plot."
44,0.7559863328933716,0.5119726657867432,"Trump faces a total 90 criminal charges in four separate indictments. He is accused of election subversion, retention of government secrets and illicit hush-money payments to a porn actor."
45,0.3936263024806976,0.21274739503860485,"Get all the latest updates from court as Trump faces several criminal cases, starting later this year."
46,0.7531892657279968,0.5063785314559937,"Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties. For more information see our Privacy Policy. We use Google reCaptcha to protect our website and the Google Privacy Policy and Terms of Service apply."
47,0.6489889621734619,0.29797792434692383,"He also faces civil lawsuits over his business affairs, and a rape allegation a judge deemed “substantially true”. Trump has denied all wrongdoing and sought to portray himself as a victim of political persecution."
